user_id,experiment_group,timestamp,device_type,network_type,operator,page_size_kb,page_load_ms,ttfb_ms,download_mbps,latency_ms,packet_loss_pct,bounced,cta_clicked,converted,data_usage_mb
1,A_standard,2026-08-01 00:00:00,Android,4G,MTN,2598.56,1939.82,1208.89,40.511,205.85,9.415,0,1,0,2.97
2,A_standard,2026-08-01 00:01:00,Android,4G,MTN,2209.55,995.33,814.44,92.665,89.47,13.181,1,0,0,2.371
3,B_lightweight,2026-08-01 00:02:00,Android,4G,MTN,826.11,1172.4,815.17,37.765,170.64,6.696,0,1,0,0.851
4,A_standard,2026-08-01 00:03:00,Android,3G,MTN,2381.39,1151.71,800.13,65.423,229.73,7.236,0,0,0,2.548
5,A_standard,2026-08-01 00:04:00,Android,4G,MTN,2435.14,1678.45,642.82,32.502,168.32,14.607,0,0,0,2.676
6,A_standard,2026-08-01 00:05:00,Android,3G,MTN,2379.84,1355.01,684.12,39.416,97.22,12.075,0,0,0,2.562
7,B_lightweight,2026-08-01 00:06:00,Android,3G,MTN,729.92,1359.39,943.57,25.838,339.76,4.441,0,1,0,0.777
8,B_lightweight,2026-08-01 00:07:00,Android,4G,MTN,674.08,956.25,821.29,54.91,170.29,22.395,1,0,0,0.716
9,A_standard,2026-08-01 00:08:00,Android,4G,MTN,2562.43,1193.33,671.37,54.954,98.4,4.586,0,0,0,3.014
10,A_standard,2026-08-01 00:09:00,iOS,4G,MTN,2264.55,2147.63,958.09,17.243,167.37,10.799,0,1,1,2.296
11,B_lightweight,2026-08-01 00:10:00,iOS,4G,MTN,716.0,1058.1,927.0,59.027,171.16,11.126,0,0,0,0.768
12,B_lightweight,2026-08-01 00:11:00,Android,5G,MTN,811.52,1500.99,1056.42,32.804,236.55,13.515,0,0,0,0.872
13,B_lightweight,2026-08-01 00:12:00,Android,5G,Glo,670.53,1600.86,1173.52,14.639,275.18,8.47,0,1,0,0.705
14,B_lightweight,2026-08-01 00:13:00,Android,4G,MTN,733.69,766.2,631.59,54.228,105.88,7.369,0,0,0,0.811
15,B_lightweight,2026-08-01 00:14:00,Android,4G,Airtel,680.49,2040.74,2014.18,122.575,233.83,5.869,0,1,0,0.694
16,B_lightweight,2026-08-01 00:15:00,Android,5G,MTN,729.59,907.1,409.69,17.71,233.64,9.809,0,1,0,0.742
17,B_lightweight,2026-08-01 00:16:00,iOS,4G,MTN,653.34,1375.71,1399.32,77.464,113.8,3.599,0,0,0,0.741
18,B_lightweight,2026-08-01 00:17:00,Android,5G,MTN,815.58,1130.78,740.69,23.046,82.56,12.668,1,0,1,0.858
19,B_lightweight,2026-08-01 00:18:00,Android,5G,MTN,776.79,1033.33,781.93,47.336,255.43,7.121,0,1,0,0.875
20,A_standard,2026-08-01 00:19:00,Android,3G,MTN,2391.65,1482.26,824.94,49.411,201.45,9.846,1,0,0,2.63
21,B_lightweight,2026-08-01 00:20:00,Android,3G,MTN,757.14,1429.23,1034.37,16.647,163.98,4.708,1,0,0,0.814
22,A_standard,2026-08-01 00:21:00,Android,4G,Airtel,2359.07,1193.66,669.26,59.122,101.69,10.636,0,0,0,2.347
23,B_lightweight,2026-08-01 00:22:00,iOS,3G,Airtel,768.34,2157.49,1702.56,14.722,282.33,17.096,0,0,0,0.849
24,A_standard,2026-08-01 00:23:00,iOS,5G,MTN,2571.78,2349.37,1468.99,28.39,155.63,6.364,0,1,0,2.682
25,A_standard,2026-08-01 00:24:00,iOS,4G,Airtel,2450.01,1745.08,1317.73,38.78,174.01,9.984,1,0,0,2.6
26,B_lightweight,2026-08-01 00:25:00,Android,4G,Airtel,729.36,1624.56,953.9,16.768,182.0,4.383,1,0,0,0.758
27,A_standard,2026-08-01 00:26:00,Android,3G,Airtel,2270.49,2559.45,1010.55,14.733,114.67,10.028,0,0,0,2.434
28,B_lightweight,2026-08-01 00:27:00,Android,4G,MTN,741.69,1407.46,894.09,18.882,145.52,5.877,0,0,0,0.822
29,B_lightweight,2026-08-01 00:28:00,iOS,4G,MTN,785.84,1048.68,822.58,39.23,243.62,5.477,0,1,0,0.891
30,A_standard,2026-08-01 00:29:00,Android,4G,Airtel,2261.96,1386.17,652.53,28.394,257.4,4.322,0,0,0,2.377
31,B_lightweight,2026-08-01 00:30:00,Android,4G,MTN,701.53,1083.3,516.6,18.294,90.8,10.692,0,0,0,0.788
32,A_standard,2026-08-01 00:31:00,Android,4G,MTN,2384.96,1790.08,939.3,28.383,169.5,3.041,0,0,0,2.525
33,B_lightweight,2026-08-01 00:32:00,iOS,4G,Glo,729.8,1132.26,1041.97,22.858,116.24,10.862,0,1,0,0.76
34,B_lightweight,2026-08-01 00:33:00,Android,4G,MTN,712.81,1265.75,927.69,26.454,251.5,7.666,0,0,0,0.791
35,A_standard,2026-08-01 00:34:00,Android,4G,MTN,2414.72,2564.91,1653.09,36.659,86.78,7.566,0,0,0,2.618
36,B_lightweight,2026-08-01 00:35:00,Android,4G,MTN,749.31,655.22,470.11,23.663,148.29,5.902,1,0,0,0.845
37,A_standard,2026-08-01 00:36:00,iOS,4G,MTN,2441.36,1065.21,752.87,59.672,230.83,6.839,0,0,0,2.726
38,B_lightweight,2026-08-01 00:37:00,Android,4G,MTN,864.25,1420.58,1010.46,19.096,244.26,6.33,1,0,0,0.903
39,A_standard,2026-08-01 00:38:00,Android,4G,MTN,2696.17,1334.92,680.47,33.969,189.0,5.508,0,0,0,2.76
40,B_lightweight,2026-08-01 00:39:00,Android,4G,Glo,706.14,1323.44,834.68,21.196,209.6,8.887,0,0,0,0.751
41,B_lightweight,2026-08-01 00:40:00,Android,3G,MTN,759.81,1562.44,1158.38,40.271,139.73,4.957,1,0,0,0.798
42,A_standard,2026-08-01 00:41:00,Android,4G,MTN,2241.08,1267.83,782.62,37.378,119.88,3.599,0,1,1,2.467
43,B_lightweight,2026-08-01 00:42:00,iOS,3G,MTN,720.49,1140.3,812.81,20.771,120.23,9.517,0,1,0,0.779
44,A_standard,2026-08-01 00:43:00,Android,5G,MTN,2469.52,1475.98,776.51,43.019,177.4,7.153,0,0,0,2.835
45,B_lightweight,2026-08-01 00:44:00,iOS,4G,MTN,696.07,841.98,718.59,73.002,299.67,10.458,0,1,0,0.734
46,B_lightweight,2026-08-01 00:45:00,Android,4G,MTN,762.89,1100.3,1034.98,27.201,151.59,10.549,0,0,0,0.751
47,B_lightweight,2026-08-01 00:46:00,Android,4G,Glo,777.65,1266.12,647.42,15.499,149.01,16.948,0,0,0,0.839
48,A_standard,2026-08-01 00:47:00,Android,4G,Glo,2258.24,2646.06,1038.09,13.885,155.18,6.315,1,0,0,2.45
49,B_lightweight,2026-08-01 00:48:00,iOS,4G,Glo,737.82,1611.73,1008.1,10.554,128.37,6.057,0,1,0,0.794
50,A_standard,2026-08-01 00:49:00,Android,4G,MTN,2493.18,1600.52,1067.35,45.564,89.54,7.617,0,0,1,2.85
51,A_standard,2026-08-01 00:50:00,Android,4G,MTN,2209.6,2138.04,1399.37,36.896,123.14,3.38,1,0,0,2.385
52,B_lightweight,2026-08-01 00:51:00,Android,4G,MTN,693.93,1311.98,1099.01,62.645,129.75,17.908,1,0,0,0.789
53,B_lightweight,2026-08-01 00:52:00,Android,4G,MTN,664.03,935.54,673.54,150.0,112.1,9.868,0,0,0,0.784
54,B_lightweight,2026-08-01 00:53:00,Android,5G,Airtel,792.78,2495.89,1741.09,10.488,142.08,2.478,1,0,0,0.849
55,A_standard,2026-08-01 00:54:00,Android,4G,MTN,2343.87,1657.04,1058.81,52.745,157.33,8.547,0,0,0,2.626
56,B_lightweight,2026-08-01 00:55:00,iOS,3G,Airtel,737.41,1710.13,1448.49,25.175,129.2,8.915,1,0,0,0.885
57,A_standard,2026-08-01 00:56:00,iOS,4G,MTN,2202.21,1790.93,1407.23,54.971,176.39,5.947,0,1,0,2.427
58,A_standard,2026-08-01 00:57:00,Android,3G,MTN,2538.85,1864.67,769.65,29.427,77.39,4.074,0,1,0,2.798
59,A_standard,2026-08-01 00:58:00,Android,4G,Airtel,2454.07,2737.79,1830.92,32.261,297.98,15.045,0,1,0,2.663
60,A_standard,2026-08-01 00:59:00,Android,4G,MTN,2548.01,1086.95,716.88,147.881,249.3,7.678,1,0,0,2.691
61,A_standard,2026-08-01 01:00:00,Android,4G,MTN,2482.44,1275.41,451.08,29.013,260.86,3.961,0,1,1,2.902
62,A_standard,2026-08-01 01:01:00,Android,4G,MTN,2346.09,2163.79,1271.09,26.356,216.95,5.085,0,0,1,2.588
63,A_standard,2026-08-01 01:02:00,Android,5G,MTN,2629.47,1824.54,908.15,31.407,156.26,9.727,1,0,0,2.949
64,A_standard,2026-08-01 01:03:00,iOS,4G,MTN,2444.81,1415.45,778.59,36.481,109.49,5.311,1,0,0,2.764
65,A_standard,2026-08-01 01:04:00,Android,4G,Glo,2358.72,3001.65,1538.37,14.548,82.52,4.724,1,0,0,2.505
66,B_lightweight,2026-08-01 01:05:00,Android,4G,MTN,726.38,1939.55,1356.68,21.069,173.65,3.097,1,0,0,0.78
67,B_lightweight,2026-08-01 01:06:00,Android,4G,MTN,702.07,1574.28,1213.65,22.013,119.35,4.45,0,0,0,0.763
